country,continent,pop,smoke_pct,lung_cancer_pct,pollution
Myanmar,Asia,54045422,23.9038538,0.0225320411506,29.28609131
China,Asia,1407745000,26.8767941,0.059002234054183,47.70120002
Cambodia,Asia,16486542,21.4543019,0.02466232065370599,21.54140109
Philippines,Asia,108116622,24.715912200000002,0.018357675646231,18.70754168
Maldives,Asia,530957,31.435767,0.010170610188431,10.82409693
Tonga,Oceania,104497,27.3520597,0.028061949532294,9.546164349
Vietnam,Asia,96462108,24.3495744,0.030179267757573,20.25879843
Indonesia,Asia,270625567,30.9691206,0.02317404448287,19.28473914
Timor-Leste,Asia,1293120,34.9874322,0.019372108452342,15.12177336
Solomon Islands,Oceania,669821,35.8362323,0.033428149470872,11.51831624
Kyrgyz Republic,Asia,6456200,23.3555087,0.01368345510573599,23.16166359
Marshall Islands,Oceania,58791,22.6807797,0.02978578183518,8.39944665
Mongolia,Asia,3225166,29.2181389,0.031303802889576,37.51546402
Azerbaijan,Europe,10024283,22.4206034,0.027030025883746,24.3942364
Micronesia,Oceania,113811,49.4261699,0.03186195983605,9.360096869
Lao People's Democratic Republic,Asia,7169456,27.889916500000002,0.022854885346732,20.4282908
Kiribati,Oceania,117608,48.7063921,0.019421705079944,8.496135288
Armenia,Europe,2957728,27.9252427,0.037537419057796,32.80239637
Tajikistan,Asia,9321023,9.036762,0.012590947789148,36.37740612
Czech Republic,Europe,10671870,28.728705700000003,0.049551844611492,16.75095418
Montenegro,Europe,622028,34.9645509,0.075901686180666,21.23221947
Uzbekistan,Asia,33580350,13.045683599999998,0.01400662199391099,33.35420435
Albania,Europe,2854191,31.620125700000003,0.033387905952488,18.64152176
Vanuatu,Oceania,299882,21.9342148,0.0240384138106,11.53577388
Republic of Moldova,Europe,2664974,23.5850502,0.022505472869898,13.52030717
Poland,Europe,37965475,28.0590113,0.048415615943849,22.6348276
Bosnia and Herzegovina,Europe,3300998,37.6136302,0.049298247093696,29.42965677
Hungary,Europe,9771141,30.240298300000003,0.071670565827895,16.4739786
Romania,Europe,19371648,30.931440199999997,0.043901636009987,15.66383964
Estonia,Europe,1326855,25.2054558,0.035992937834066,5.886799265
Croatia,Europe,4065253,35.8350892,0.070263768369553,18.45266422
Georgia,Europe,3720161,28.8811166,0.037130653500767,13.071068604
Slovenia,Europe,2088385,27.418622399999997,0.05517372868757701,16.94851151
Serbia,Europe,6945235,38.241312,0.067877105297326,25.25414619
Russian Federation,Asia,144406261,29.700891499999997,0.03399418311021,11.54982383
Lithuania,Europe,2794137,28.6087496,0.034088059163301,10.34915325
Belarus,Europe,9419758,35.781506400000005,0.03208988755768,16.35782175
Singapore,Asia,5703569,13.8735366,0.067335478383983,18.54052248
Republic of Korea,Asia,51764822,24.4974962,0.082081623637684,27.41225329
Republic of Korea,Asia,25666158,24.4974962,0.082081623637684,27.41225329
New Zealand,Oceania,4979300,16.7515714,0.061228568086544,6.0102404
Finland,Europe,5521606,21.4896432,0.047223522899258,5.563475075
Greece,Europe,10721582,38.0836575,0.06600075501154799,14.20808156
Ukraine,Europe,44386203,27.398202,0.044907933458539,14.30445999
Japan,Asia,126264931,21.9091038,0.08131397979327701,13.42104833
Austria,Europe,8879920,31.128317700000004,0.061727833373683,12.16871548
France,Europe,67248926,34.0201985,0.06541449359785101,11.40052183
Cyprus,Europe,1198574,32.9135784,0.040990466418692,15.55846572
Andorra,Europe,77146,27.9813926,0.06884728903498501,9.035194109
Italy,Europe,59729081,23.1629224,0.053678622971261,16.08658591
Portugal,Europe,10286263,27.7134887,0.028012908307436,8.252190282
Iceland,Europe,360563,15.4704187,0.071449055219678,5.681813408
Spain,Europe,47134837,27.6555309,0.065489059016481,9.728343232
Denmark,Europe,5814422,22.619135,0.073423302330068,9.763075825
Ireland,Europe,4934340,22.3457289,0.056633754854738,7.847509995
Switzerland,Europe,8575280,26.3349236,0.046434617190304,9.901390325
Sweden,Europe,10278887,13.364225499999998,0.027961190687404,5.647449787
United States of America,North America,328329953,17.5695167,0.086742258594729,7.664208604
Luxembourg,Europe,620001,23.787093,0.055902909447019,10.07173973
Antigua and Barbuda,North America,97115,8.9182121,0.010840364583463,16.58486873
Argentina,South America,44938712,24.3252264,0.0308099573641,13.43111777
Uruguay,South America,3461731,26.898148,0.042700790510702,9.436843539
Malta,Europe,504062,24.4934428,0.033680623566806,12.96020876
Chile,South America,18952035,34.4110321,0.02102246575352,22.62007549
Netherlands,Europe,17344874,22.7159646,0.079256949468238,12.0334636
Belize,North America,390351,13.2138851,0.01487865424765699,19.7536531
Bahamas,North America,389486,7.175694000000001,0.016690811131784,14.48839156
Cuba,North America,11333484,23.52353,0.046312921624668,17.14047474
Grenada,North America,112002,11.7229283,0.015875389329069,20.03572346
Guyana,South America,782775,14.3704293,0.00923341132004567,18.84592573
Haiti,North America,11263079,6.1654298,0.01122291476011,17.54900356
El Salvador,North America,6453550,9.8897441,0.01207121318522,21.85221474
Costa Rica,North America,5047561,11.083943,0.012351845887326,17.35081404
Dominica,North America,71808,10.808578,0.018285979702894,17.53458527
Saint Vincent and the Grenadines,North America,110593,12.4430302,0.011120403658053,19.73824337
Suriname,South America,581363,21.2665455,0.016262082849016,19.79415112
Peru,South America,32510462,5.6856326,0.01156193792856299,30.44237734
Trinidad and Tobago,North America,1394969,18.6146995,0.01202571501772,20.24136965
Algeria,Africa,43053054,17.388416,0.010327246664628,32.17525868
Paraguay,South America,7044639,16.5001581,0.017091241752589,12.30760947
Panama,North America,4246440,8.499406800000001,0.013141205980568,13.05402056
Nicaragua,North America,6545503,13.1963162,0.00968560490512191,19.93948986
Ecuador,South America,17373657,14.6857022,0.010475412159285,19.90846388
Morocco,Africa,36471766,11.7218948,0.01741922723951799,34.7531345
Bolivia,South America,11513102,12.7207385,0.013268141152529,26.25915088
Bahrain,Asia,1641164,16.2367655,0.018794187999233,58.59468036
Guatemala,North America,16604026,11.9411491,0.00823019561869246,27.40074157
